-2.14748e+09: 31,  0| -1.07374e+09: 31,  1| -5.36871e+08: 31,  2| -2.68435e+08: 31,  3| -1.34218e+08: 31,  4| -6.71089e+07: 31,  5| -3.35544e+07: 31,  6| -1.67772e+07: 31,  7| -8.38861e+06: 31,  8| -4.1943e+06: 31,  9| -2.09715e+06: 31, 10| -1.04858e+06: 31, 11|     -524288: 31, 12|     -262144: 31, 13|     -131072: 31, 14|      -65536: 31, 15|      -32768: 31, 16|      -16384: 31, 17|       -8192: 31, 18|       -4096: 31, 19|       -2048: 31, 20|       -1024: 31, 21|        -512: 31, 22|        -256: 31, 23|        -128: 31, 24|         -64: 31, 25|         -32: 31, 26|         -16: 31, 27|          -8: 31, 28|          -4: 31, 29|          -2: 31, 30|        -0.5: 30, 31| 
   0.250004: 16, 18|    0.250008: 15, 17|    0.250015: 14, 16|    0.250031: 13, 15|    0.250061: 12, 14|    0.250122: 11, 13|    0.250244: 10, 12|    0.250488:  9, 11|    0.250977:  8, 10|    0.251953:  7,  9|    0.253906:  6,  8|    0.257812:  5,  7|    0.265625:  4,  6|     0.28125:  3,  5|      0.3125:  2,  4|       0.375:  1,  3|         0.5:  0,  2|         0.5: 29, 30|         0.5: 28, 29|         0.5: 27, 28|         0.5: 26, 27|         0.5: 25, 26|         0.5: 24, 25|         0.5: 23, 24|         0.5: 22, 23|         0.5: 21, 22|         0.5: 20, 21|    0.500001: 19, 20|    0.500002: 18, 19|    0.500004: 17, 18|    0.500008: 16, 17|    0.500015: 15, 16| 
   0.500031: 14, 15|    0.500061: 13, 14|    0.500122: 12, 13|    0.500244: 11, 12|    0.500488: 10, 11|    0.500977:  9, 10|    0.501953:  8,  9|    0.503906:  7,  8|    0.507812:  6,  7|    0.515625:  5,  6|     0.53125:  4,  5|      0.5625:  3,  4|       0.625:  2,  3|        0.75:  1,  2|           1: 31, 31|           1:  0,  1|           1: 30, 30|           1: 29, 29|           1: 28, 28|           1: 27, 27|           1: 26, 26|           1: 25, 25|           1: 24, 24|           1: 23, 23|           1: 22, 22|           1: 21, 21|           1: 20, 20|           1: 19, 19|           1: 18, 18|     1.00001: 17, 17|     1.00002: 16, 16|     1.00003: 15, 15| 
    1.00006: 14, 14|     1.00012: 13, 13|     1.00024: 12, 12|     1.00049: 11, 11|     1.00098: 10, 10|     1.00195:  9,  9|     1.00391:  8,  8|     1.00781:  7,  7|     1.01562:  6,  6|     1.03125:  5,  5|      1.0625:  4,  4|       1.125:  3,  3|        1.25:  2,  2|         1.5:  1,  1|           2:  0,  0|           2: 30, 29|           2: 29, 28|           2: 28, 27|           2: 27, 26|           2: 26, 25|           2: 25, 24|           2: 24, 23|           2: 23, 22|           2: 22, 21|           2: 21, 20|           2: 20, 19|           2: 19, 18|     2.00001: 18, 17|     2.00002: 17, 16|     2.00003: 16, 15|     2.00006: 15, 14|     2.00012: 14, 13| 
    2.00024: 13, 12|     2.00049: 12, 11|     2.00098: 11, 10|     2.00195: 10,  9|     2.00391:  9,  8|     2.00781:  8,  7|     2.01562:  7,  6|     2.03125:  6,  5|      2.0625:  5,  4|       2.125:  4,  3|        2.25:  3,  2|         2.5:  2,  1|           3:  1,  0|           4: 30, 28|           4: 29, 27|           4: 28, 26|           4: 27, 25|           4: 26, 24|           4: 25, 23|           4: 24, 22|           4: 23, 21|           4: 22, 20|           4: 21, 19|           4: 20, 18|     4.00001: 19, 17|     4.00002: 18, 16|     4.00003: 17, 15|     4.00006: 16, 14|     4.00012: 15, 13|     4.00024: 14, 12|     4.00049: 13, 11|     4.00098: 12, 10| 
    4.00195: 11,  9|     4.00391: 10,  8|     4.00781:  9,  7|     4.01562:  8,  6|     4.03125:  7,  5|      4.0625:  6,  4|       4.125:  5,  3|        4.25:  4,  2|         4.5:  3,  1|           5:  2,  0|           8: 30, 27|           8: 29, 26|           8: 28, 25|           8: 27, 24|           8: 26, 23|           8: 25, 22|           8: 24, 21|           8: 23, 20|           8: 22, 19|           8: 21, 18|     8.00001: 20, 17|     8.00002: 19, 16|     8.00003: 18, 15|     8.00006: 17, 14|     8.00012: 16, 13|     8.00024: 15, 12|     8.00049: 14, 11|     8.00098: 13, 10|     8.00195: 12,  9|     8.00391: 11,  8|     8.00781: 10,  7|     8.01562:  9,  6| 
    8.03125:  8,  5|      8.0625:  7,  4|       8.125:  6,  3|        8.25:  5,  2|         8.5:  4,  1|           9:  3,  0|          16: 30, 26|          16: 29, 25|          16: 28, 24|          16: 27, 23|          16: 26, 22|          16: 25, 21|          16: 24, 20|          16: 23, 19|          16: 22, 18|          16: 21, 17|          16: 20, 16|          16: 19, 15|     16.0001: 18, 14|     16.0001: 17, 13|     16.0002: 16, 12|     16.0005: 15, 11|      16.001: 14, 10|      16.002: 13,  9|     16.0039: 12,  8|     16.0078: 11,  7|     16.0156: 10,  6|     16.0312:  9,  5|     16.0625:  8,  4|      16.125:  7,  3|       16.25:  6,  2|        16.5:  5,  1| 
         17:  4,  0|          32: 30, 25|          32: 29, 24|          32: 28, 23|          32: 27, 22|          32: 26, 21|          32: 25, 20|          32: 24, 19|          32: 23, 18|          32: 22, 17|          32: 21, 16|          32: 20, 15|     32.0001: 19, 14|     32.0001: 18, 13|     32.0002: 17, 12|     32.0005: 16, 11|      32.001: 15, 10|      32.002: 14,  9|     32.0039: 13,  8|     32.0078: 12,  7|     32.0156: 11,  6|     32.0312: 10,  5|     32.0625:  9,  4|      32.125:  8,  3|       32.25:  7,  2|        32.5:  6,  1|          33:  5,  0|          64: 30, 24|          64: 29, 23|          64: 28, 22|          64: 27, 21|          64: 26, 20| 
         64: 25, 19|          64: 24, 18|          64: 23, 17|          64: 22, 16|          64: 21, 15|     64.0001: 20, 14|     64.0001: 19, 13|     64.0002: 18, 12|     64.0005: 17, 11|      64.001: 16, 10|      64.002: 15,  9|     64.0039: 14,  8|     64.0078: 13,  7|     64.0156: 12,  6|     64.0312: 11,  5|     64.0625: 10,  4|      64.125:  9,  3|       64.25:  8,  2|        64.5:  7,  1|          65:  6,  0|         128: 30, 23|         128: 29, 22|         128: 28, 21|         128: 27, 20|         128: 26, 19|         128: 25, 18|         128: 24, 17|         128: 23, 16|         128: 22, 15|         128: 21, 14|         128: 20, 13|         128: 19, 12| 
        128: 18, 11|     128.001: 17, 10|     128.002: 16,  9|     128.004: 15,  8|     128.008: 14,  7|     128.016: 13,  6|     128.031: 12,  5|     128.062: 11,  4|     128.125: 10,  3|      128.25:  9,  2|       128.5:  8,  1|         129:  7,  0|         256: 30, 22|         256: 29, 21|         256: 28, 20|         256: 27, 19|         256: 26, 18|         256: 25, 17|         256: 24, 16|         256: 23, 15|         256: 22, 14|         256: 21, 13|         256: 20, 12|         256: 19, 11|     256.001: 18, 10|     256.002: 17,  9|     256.004: 16,  8|     256.008: 15,  7|     256.016: 14,  6|     256.031: 13,  5|     256.062: 12,  4|     256.125: 11,  3| 
     256.25: 10,  2|       256.5:  9,  1|         257:  8,  0|         512: 30, 21|         512: 29, 20|         512: 28, 19|         512: 27, 18|         512: 26, 17|         512: 25, 16|         512: 24, 15|         512: 23, 14|         512: 22, 13|         512: 21, 12|         512: 20, 11|     512.001: 19, 10|     512.002: 18,  9|     512.004: 17,  8|     512.008: 16,  7|     512.016: 15,  6|     512.031: 14,  5|     512.062: 13,  4|     512.125: 12,  3|      512.25: 11,  2|       512.5: 10,  1|         513:  9,  0|        1024: 30, 20|        1024: 29, 19|        1024: 28, 18|        1024: 27, 17|        1024: 26, 16|        1024: 25, 15|        1024: 24, 14| 
